Language	Type	Memory	EmpiricalMedianDiff	MedianDiff_Lower	MedianDiff_Upper	Level
Arabic	REAL_REAL	0.0737053602934	0.0	0.0	0.0	0.9985356330871596
Arabic	REAL_REAL	0.147410720587	0.0	0.0	0.0	0.9985356330871596
Arabic	REAL_REAL	0.221116095781	0.0	0.0	1.49011611938e-08	0.9877986907958999
Arabic	REAL_REAL	0.294821441174	0.0	0.0	0.0	0.9985356330871596
Arabic	REAL_REAL	0.368526816368	0.0	-2.98023223877e-08	0.0	0.9877986907958999
Arabic	REAL_REAL	0.442232191563	0.0	0.0	2.98023223877e-08	0.9877986907958999
Arabic	REAL_REAL	0.515937566757	0.0	0.0	0.0	0.9985356330871596
Arabic	REAL_REAL	0.589642882347	0.0	0.0	0.0	0.9985356330871596
Arabic	REAL_REAL	0.663348257542	0.0	-5.96046447754e-08	0.0	0.9985356330871596
Arabic	REAL_REAL	0.737053632736	0.0	-5.96046447754e-08	0.00336289405823	0.9820079803466811
Arabic	REAL_REAL	0.810759007931	0.00715130567551	0.0	0.0402155518532	0.9820079803466811
Arabic	REAL_REAL	0.884464383125	0.0440040230751	0.0140032172203	0.0770682692528	0.9820079803466811
Arabic	REAL_REAL	0.958169698715	0.0808566808701	0.0508558750153	0.113920986652	0.9820079803466811
Arabic	REAL_REAL	1.03187513351	0.11770939827	0.0877085924149	0.150773644447	0.9926819801330581
Arabic	REAL_REAL	1.1055804491	0.154562056065	0.12456125021	0.187626302242	0.9926819801330581
Arabic	REAL_REAL	1.17928576469	0.199587702751	0.161413908005	0.22598862648	0.9926819801330581
Arabic	REAL_REAL	1.25299119949	0.24872469902	0.191313147545	0.267630398273	0.9820079803466811
Arabic	REAL_REAL	1.32669651508	0.263879299164	0.199772238731	0.288575410843	0.9820079803466811
Arabic	REAL_REAL	1.40040194988	0.281301498413	0.212056517601	0.300859570503	0.9820079803466811
Arabic	REAL_REAL	1.47410726547	0.293585658073	0.224340677261	0.316261768341	0.9820079803466811
Arabic	REAL_REAL	1.54781258106	0.305869936943	0.240047693253	0.336698889732	0.9820079803466811
Arabic	REAL_REAL	1.62151801586	0.327372670174	0.258474230766	0.358810544014	0.9820079803466811
Arabic	REAL_REAL	1.69522333145	0.350873231888	0.279381275177	0.383347868919	0.9820079803466811
Arabic	REAL_REAL	1.76892876625	0.375764250755	0.296324849129	0.408921837807	0.9820079803466811
Arabic	REAL_REAL	1.84263408184	0.389911532402	0.308969140053	0.425325512886	0.9820079803466811
Arabic	REAL_REAL	1.91633939743	0.403317928314	0.323387503624	0.441598892212	0.9820079803466811
Arabic	REAL_REAL	1.99004483223	0.418075919151	0.339277505875	0.460207223892	0.9820079803466811
Arabic	REAL_REAL	2.06375026703	0.431899785995	0.35090303421	0.47823870182	0.9820079803466811
Arabic	REAL_REAL	2.13745546341	0.442839860916	0.362884998322	0.492670059204	0.9820079803466811
Arabic	REAL_REAL	2.21116089821	0.454053640366	0.372953057289	0.510691642761	0.9820079803466811
Arabic	REAL_REAL	2.28486633301	0.462950825691	0.382420897484	0.525432705879	0.9820079803466811
Arabic	REAL_REAL	2.35857152939	0.471153736115	0.391728043556	0.539067387581	0.9820079803466811
Arabic	REAL_REAL	2.43227696419	0.481776356697	0.402242302895	0.551164507866	0.9820079803466811
Arabic	REAL_REAL	2.50598239899	0.491963267326	0.411275744438	0.561613202095	0.9820079803466811
Arabic	REAL_REAL	2.57968759537	0.500707745552	0.419102549553	0.570593357086	0.9820079803466811
Arabic	REAL_REAL	2.65339303017	0.508355379105	0.425719022751	0.578439354897	0.9820079803466811
Arabic	REAL_REAL	2.72709846497	0.514772415161	0.43140745163	0.585256457329	0.9820079803466811
Arabic	REAL_REAL	2.80080389977	0.520190119743	0.436253666878	0.591063976288	0.9820079803466811
Arabic	REAL_REAL	2.87450909615	0.524632573128	0.439217209816	0.595940947533	0.9820079803466811
Arabic	GROUND	0.0737053602934	0.0	0.0	0.0	0.9985356330871596
Arabic	GROUND	0.147410720587	0.0	0.0	0.0	0.9985356330871596
Arabic	GROUND	0.221116095781	0.0	0.0	1.49011611938e-08	0.9877986907958999
Arabic	GROUND	0.294821441174	0.0	0.0	0.0	0.9985356330871596
Arabic	GROUND	0.368526816368	0.0	0.0	0.0	0.9877986907958999
Arabic	GROUND	0.442232191563	0.0	0.0	2.98023223877e-08	0.9877986907958999
Arabic	GROUND	0.515937566757	0.0	0.0	0.0	0.9985356330871596
Arabic	GROUND	0.589642882347	0.0	0.0	0.0	0.9985356330871596
Arabic	GROUND	0.663348257542	0.0	0.0	0.0	0.9877986907958999
Arabic	GROUND	0.737053632736	0.0	0.0	0.00336289405823	0.9820079803466811
Arabic	GROUND	0.810759007931	0.00715130567551	0.0	0.0402155518532	0.9926819801330581
Arabic	GROUND	0.884464383125	0.0440040230751	0.0140032172203	0.0770682692528	0.9820079803466811
Arabic	GROUND	0.958169698715	0.0808566808701	0.0508558750153	0.113920927048	0.9820079803466811
Arabic	GROUND	1.03187513351	0.11770939827	0.0877085924149	0.150773644447	0.9926819801330581
Arabic	GROUND	1.1055804491	0.14113420248	0.106520831585	0.17964142561	0.9820079803466811
Arabic	GROUND	1.17928576469	0.149307250977	0.10652089119	0.181151151657	0.9820079803466811
Arabic	GROUND	1.25299119949	0.161591529846	0.10652089119	0.185940086842	0.9820079803466811
Arabic	GROUND	1.32669651508	0.173875689507	0.114979982376	0.198224425316	0.9820079803466811
Arabic	GROUND	1.40040194988	0.191297888756	0.127264142036	0.210508584976	0.9820079803466811
Arabic	GROUND	1.47410726547	0.203582167625	0.139548420906	0.225910663605	0.9820079803466811
Arabic	GROUND	1.54781258106	0.214345693588	0.14981508255	0.245126008987	0.9820079803466811
Arabic	GROUND	1.62151801586	0.223564267159	0.155957221985	0.254953503609	0.9820079803466811
Arabic	GROUND	1.69522333145	0.234780550003	0.164580106735	0.267206549644	0.9820079803466811
Arabic	GROUND	1.76892876625	0.24738740921	0.173529863358	0.280496239662	0.9820079803466811
Arabic	GROUND	1.84263408184	0.2549046278	0.180032014847	0.289515018463	0.9820079803466811
Arabic	GROUND	1.91633939743	0.262168884277	0.187412261963	0.299646258354	0.9820079803466811
Arabic	GROUND	1.99004483223	0.267179846764	0.193474888802	0.309105753899	0.9820079803466811
Arabic	GROUND	2.06375026703	0.272154569626	0.19882440567	0.31798183918	0.9820079803466811
Arabic	GROUND	2.13745546341	0.276522994041	0.203728675842	0.326121807098	0.9820079803466811
Arabic	GROUND	2.21116089821	0.280148148537	0.207958459854	0.336601495743	0.9820079803466811
Arabic	GROUND	2.28486633301	0.283009290695	0.211624026299	0.345663905144	0.9820079803466811
Arabic	GROUND	2.35857152939	0.285421729088	0.215757608414	0.353609204292	0.9820079803466811
Arabic	GROUND	2.43227696419	0.290742278099	0.221886873245	0.36053776741	0.9820079803466811
Arabic	GROUND	2.50598239899	0.296122789383	0.227070093155	0.366444826126	0.9820079803466811
Arabic	GROUND	2.57968759537	0.300545930862	0.231338739395	0.371381521225	0.9820079803466811
Arabic	GROUND	2.65339303017	0.301241159439	0.231462240219	0.375546813011	0.9820079803466811
Arabic	GROUND	2.72709846497	0.301241159439	0.231462240219	0.375546813011	0.9820079803466811
Arabic	GROUND	2.80080389977	0.301241159439	0.231462240219	0.375546813011	0.9820079803466811
Arabic	GROUND	2.87450909615	0.301241159439	0.231462240219	0.375546813011	0.9820079803466811
Catalan	REAL_REAL	0.0660417824984	0.0	0.0	0.0	0.9985356330871596
Catalan	REAL_REAL	0.132083564997	0.0	0.0	0.0	0.9985356330871596
Catalan	REAL_REAL	0.198125332594	0.0	0.0	0.0	0.9877986907958999
Catalan	REAL_REAL	0.264167129993	0.0	0.0	0.0	0.9985356330871596
Catalan	REAL_REAL	0.330208897591	0.0	-2.98023223877e-08	0.0	0.9985356330871596
Catalan	REAL_REAL	0.396250665188	0.0	0.0	0.0	0.9877986907958999
Catalan	REAL_REAL	0.462292462587	0.0	-2.98023223877e-08	0.0	0.9820079803466811
Catalan	REAL_REAL	0.528334259987	0.0	0.0	0.0	0.9985356330871596
Catalan	REAL_REAL	0.594376027584	0.0	0.0	0.0	0.9985356330871596
Catalan	REAL_REAL	0.660417795181	0.0	-5.96046447754e-08	0.0	0.9985356330871596
Catalan	REAL_REAL	0.726459562778	0.0	-5.96046447754e-08	0.0	0.9985356330871596
Catalan	REAL_REAL	0.792501330376	0.0	0.0	0.0	0.9820079803466811
Catalan	REAL_REAL	0.858543157578	0.00957083702087	0.0	0.0204771161079	0.9926819801330581
Catalan	REAL_REAL	0.924584925175	0.0425917506218	-5.96046447754e-08	0.0534979701042	0.9820079803466811
Catalan	REAL_REAL	0.990626692772	0.0756126046181	0.0163062214851	0.0865188837051	0.9926819801330581
Catalan	REAL_REAL	1.05666851997	0.108633518219	0.0493271350861	0.119539737701	0.9926819801330581
Catalan	REAL_REAL	1.12271022797	0.141654372215	0.0823479890823	0.152560591698	0.9926819801330581
Catalan	REAL_REAL	1.18875205517	0.174675345421	0.115368962288	0.185581564903	0.9926819801330581
Catalan	REAL_REAL	1.25479376316	0.207696199417	0.148389697075	0.223618268967	0.9926819801330581
Catalan	REAL_REAL	1.32083559036	0.218425512314	0.156684756279	0.247198462486	0.9820079803466811
Catalan	REAL_REAL	1.38687741756	0.218425393105	0.1570789814	0.258205533028	0.9820079803466811
Catalan	REAL_REAL	1.45291912556	0.227938175201	0.168085932732	0.270356416702	0.9820079803466811
Catalan	REAL_REAL	1.51896095276	0.238945126534	0.179092884064	0.286866903305	0.9820079803466811
Catalan	REAL_REAL	1.58500266075	0.249951958656	0.190099835396	0.303377270699	0.9820079803466811
Catalan	REAL_REAL	1.65104448795	0.262990355492	0.205140829086	0.321970462799	0.9820079803466811
Catalan	REAL_REAL	1.71708631516	0.279500842094	0.22179543972	0.341782927513	0.9820079803466811
Catalan	REAL_REAL	1.78312802315	0.291461348534	0.233351349831	0.357617616653	0.9820079803466811
Catalan	REAL_REAL	1.84916985035	0.301963806152	0.244004130363	0.369071602821	0.9820079803466811
Catalan	REAL_REAL	1.91521155834	0.314706802368	0.256712436676	0.381713151932	0.9820079803466811
Catalan	REAL_REAL	1.98125338554	0.326570153236	0.267038583755	0.393443226814	0.9820079803466811
Catalan	REAL_REAL	2.04729509354	0.336769461632	0.2731975317	0.402618169785	0.9820079803466811
Catalan	REAL_REAL	2.11333703995	0.346195936203	0.279075026512	0.410704731941	0.9820079803466811
Catalan	REAL_REAL	2.17937874794	0.354395031929	0.284517407417	0.418375015259	0.9820079803466811
Catalan	REAL_REAL	2.24542045593	0.364161372185	0.289082288742	0.424827098846	0.9820079803466811
Catalan	REAL_REAL	2.31146240234	0.372872829437	0.293580174446	0.432837247849	0.9820079803466811
Catalan	REAL_REAL	2.37750411034	0.380171775818	0.300083875656	0.44081401825	0.9820079803466811
Catalan	REAL_REAL	2.44354581833	0.386573910713	0.306372880936	0.447765946388	0.9820079803466811
Catalan	REAL_REAL	2.50958752632	0.391903996468	0.311607122421	0.453559994698	0.9820079803466811
Catalan	REAL_REAL	2.57562947273	0.396196007729	0.315824508667	0.458456516266	0.9820079803466811
Catalan	GROUND	0.0660417824984	0.0	0.0	0.0	0.9985356330871596
Catalan	GROUND	0.132083564997	0.0	0.0	0.0	0.9985356330871596
Catalan	GROUND	0.198125332594	0.0	0.0	0.0	0.9877986907958999
Catalan	GROUND	0.264167129993	0.0	0.0	0.0	0.9985356330871596
Catalan	GROUND	0.330208897591	0.0	-2.98023223877e-08	0.0	0.9877986907958999
Catalan	GROUND	0.396250665188	0.0	0.0	0.0	0.9877986907958999
Catalan	GROUND	0.462292462587	0.0	0.0	0.0	0.9926819801330581
Catalan	GROUND	0.528334259987	0.0	0.0	0.0	0.9985356330871596
Catalan	GROUND	0.594376027584	0.0	0.0	0.0	0.9985356330871596
Catalan	GROUND	0.660417795181	0.0	-5.96046447754e-08	0.0	0.9877986907958999
Catalan	GROUND	0.726459562778	0.0	-5.96046447754e-08	5.96046447754e-08	0.9985356330871596
Catalan	GROUND	0.792501330376	0.0	0.0	0.0	0.9820079803466811
Catalan	GROUND	0.858543157578	0.00957083702087	0.0	0.0204770565033	0.9820079803466811
Catalan	GROUND	0.924584925175	0.0425917506218	0.0	0.0534979701042	0.9926819801330581
Catalan	GROUND	0.990626692772	0.0756126046181	0.0163062214851	0.0865188241005	0.9820079803466811
Catalan	GROUND	1.05666851997	0.108633518219	0.0493271350861	0.119539737701	0.9926819801330581
Catalan	GROUND	1.12271022797	0.141654372215	0.0823479890823	0.152560591698	0.9926819801330581
Catalan	GROUND	1.18875205517	0.174675345421	0.115368962288	0.185581564903	0.9926819801330581
Catalan	GROUND	1.25479376316	0.182256340981	0.120994091034	0.201170802116	0.9820079803466811
Catalan	GROUND	1.32083559036	0.18225646019	0.120994091034	0.212177753448	0.9820079803466811
Catalan	GROUND	1.38687741756	0.182256340981	0.121388435364	0.223184704781	0.9820079803466811
Catalan	GROUND	1.45291912556	0.191769123077	0.132395386696	0.235335707664	0.9820079803466811
Catalan	GROUND	1.51896095276	0.202776074409	0.143402218819	0.251846194267	0.9820079803466811
Catalan	GROUND	1.58500266075	0.213783025742	0.154409170151	0.268356561661	0.9820079803466811
Catalan	GROUND	1.65104448795	0.226821303368	0.169450283051	0.286949753761	0.9820079803466811
Catalan	GROUND	1.71708631516	0.238123297691	0.181704282761	0.303319454193	0.9820079803466811
Catalan	GROUND	1.78312802315	0.24630522728	0.190509915352	0.31346654892	0.9820079803466811
Catalan	GROUND	1.84916985035	0.256807684898	0.201162576675	0.324920654297	0.9820079803466811
Catalan	GROUND	1.91521155834	0.266947388649	0.211051702499	0.334673285484	0.9820079803466811
Catalan	GROUND	1.98125338554	0.275713801384	0.218569993973	0.342928409576	0.9820079803466811
Catalan	GROUND	2.04729509354	0.283041357994	0.221590876579	0.349203586578	0.9820079803466811
Catalan	GROUND	2.11333703995	0.289652824402	0.224419355392	0.354387521744	0.9820079803466811
Catalan	GROUND	2.17937874794	0.295411944389	0.226940989494	0.358741998672	0.9820079803466811
Catalan	GROUND	2.24542045593	0.303124785423	0.229197621346	0.362371563911	0.9820079803466811
Catalan	GROUND	2.31146240234	0.309780955315	0.231440782547	0.367871999741	0.9820079803466811
Catalan	GROUND	2.37750411034	0.315067768097	0.235468268394	0.37339758873	0.9820079803466811
