Language	Type	ModelID	AUC
Arabic	REAL_REAL	1300430	16.3046665192
Arabic	REAL_REAL	160996	16.2847957611
Arabic	REAL_REAL	226466	16.3312683105
Arabic	REAL_REAL	3789375	16.2856807709
Arabic	REAL_REAL	3894455	16.2972335815
Arabic	REAL_REAL	7196978	16.329870224
Arabic	REAL_REAL	7327688	16.2999858856
Arabic	REAL_REAL	8042106	16.2894058228
Arabic	REAL_REAL	8103443	16.2977714539
Arabic	REAL_REAL	9504787	16.2895851135
Arabic	RANDOM_BY_TYPE	2228507	17.0997943878
Arabic	RANDOM_BY_TYPE	2321441	16.9296836853
Arabic	RANDOM_BY_TYPE	266304480	17.0719070435
Arabic	RANDOM_BY_TYPE	5288473	17.0533752441
Arabic	RANDOM_BY_TYPE	5483394	16.9749755859
Arabic	RANDOM_BY_TYPE	7344761	17.1562709808
Arabic	RANDOM_BY_TYPE	7428880	17.1031169891
Arabic	RANDOM_BY_TYPE	8036935	17.0454921722
Arabic	RANDOM_BY_TYPE	8577749	17.0500411987
Arabic	RANDOM_BY_TYPE	8782235	16.956911087
Arabic	RANDOM_BY_TYPE	933804	16.9084320068
Arabic	GROUND	1151931	16.554473877
Arabic	GROUND	1679667	16.5576190948
Arabic	GROUND	2248742	16.5967311859
Arabic	GROUND	2588950	16.5505332947
Arabic	GROUND	3526716	16.5689544678
Arabic	GROUND	4062183	16.5497131348
Arabic	GROUND	5852912	16.5456886292
Arabic	GROUND	6229778	16.5830631256
Arabic	GROUND	7697159	16.5668964386
Arabic	GROUND	8743655	16.5633335114
Catalan	REAL_REAL	1879503	13.7282266617
Catalan	REAL_REAL	2494416	13.7242116928
Catalan	REAL_REAL	3503821	13.7222499847
Catalan	REAL_REAL	386347	13.7204380035
Catalan	REAL_REAL	5612374	13.7289714813
Catalan	REAL_REAL	7965909	13.73117733
Catalan	REAL_REAL	8096207	13.7176189423
Catalan	REAL_REAL	8456004	13.7209720612
Catalan	REAL_REAL	9533474	13.7266635895
Catalan	REAL_REAL	9725271	13.7248821259
Catalan	RANDOM_BY_TYPE	4397646	14.0124797821
Catalan	RANDOM_BY_TYPE	4495614	14.1127433777
Catalan	RANDOM_BY_TYPE	4550347	14.0938911438
Catalan	RANDOM_BY_TYPE	5548236	14.2634515762
Catalan	RANDOM_BY_TYPE	5602571	14.230140686
Catalan	RANDOM_BY_TYPE	6484624	14.2416973114
Catalan	RANDOM_BY_TYPE	7819533	14.1034297943
Catalan	RANDOM_BY_TYPE	8336738	14.3187837601
Catalan	RANDOM_BY_TYPE	891607	14.1885948181
Catalan	RANDOM_BY_TYPE	9345947	14.1791763306
Catalan	RANDOM_BY_TYPE	9819539	14.2484703064
Catalan	GROUND	2530608	13.7912225723
Catalan	GROUND	3076102	13.794508934
Catalan	GROUND	3147934	13.7962026596
Catalan	GROUND	3674146	13.7884845734
Catalan	GROUND	6047972	13.7927694321
Catalan	GROUND	6525364	13.7969560623
Catalan	GROUND	7459048	13.8086423874
Catalan	GROUND	8178643	13.7843370438
Catalan	GROUND	8818437	13.790394783
Catalan	GROUND	8944268	13.79570961
Czech	REAL_REAL	1641335	12.7114686966
Czech	REAL_REAL	2000302	12.7242975235
Czech	REAL_REAL	2545380	12.7192802429
Czech	REAL_REAL	2629906	12.7211303711
Czech	REAL_REAL	3062802	12.7256097794
Czech	REAL_REAL	4975710	12.7135591507
Czech	REAL_REAL	5606497	12.7174348831
Czech	REAL_REAL	7092432	12.7417793274
Czech	REAL_REAL	9219911	12.7453250885
Czech	REAL_REAL	9647984	12.7163496017
Czech	RANDOM_BY_TYPE	1598997	12.7585725784
Czech	RANDOM_BY_TYPE	256515	12.8638181686
Czech	RANDOM_BY_TYPE	2694227	12.8554620743
Czech	RANDOM_BY_TYPE	4007550	12.8353347778
Czech	RANDOM_BY_TYPE	4184353	12.8472547531
Czech	RANDOM_BY_TYPE	4509771	12.8431587219
Czech	RANDOM_BY_TYPE	4638216	12.7832622528
Czech	RANDOM_BY_TYPE	4708695	12.8238172531
Czech	RANDOM_BY_TYPE	6094158	12.8509731293
Czech	RANDOM_BY_TYPE	6412352	12.7846431732
