Language	Type	Position	LowerConfidenceBound	Level	Memory
Arabic	REAL_REAL	0	0.0	0.0	0.0449889972806
Arabic	REAL_REAL	1	0.0	0.0	0.0899779945612
Arabic	REAL_REAL	2	0.0	0.0	0.134966999292
Arabic	REAL_REAL	3	0.0	0.0	0.179955989122
Arabic	REAL_REAL	4	0.06	0.0008685399713317388	0.224944993854
Arabic	REAL_REAL	5	0.0	0.0	0.269933998585
Arabic	REAL_REAL	6	0.0	0.0	0.314922988415
Arabic	REAL_REAL	7	0.0	0.0	0.359911978245
Arabic	REAL_REAL	8	0.0	0.0	0.404900997877
Arabic	REAL_REAL	9	0.06	0.0008685399713317388	0.449889987707
Arabic	REAL_REAL	10	0.085	0.0009175947812422036	0.494878977537
Arabic	REAL_REAL	11	0.0	0.0	0.539867997169
Arabic	REAL_REAL	12	0.0	0.0	0.584856987
Arabic	REAL_REAL	13	0.0	0.0	0.62984597683
Arabic	REAL_REAL	14	0.0	0.0	0.67483496666
Arabic	REAL_REAL	15	0.0	0.0	0.71982395649
Arabic	REAL_REAL	17	0.06	0.0008685399713317388	0.809801995754
Arabic	REAL_REAL	18	0.21	0.0008721018702705363	0.854790985584
Arabic	REAL_REAL	19	0.49	0.0009633041082497407	0.899779975414
Arabic	REAL_REAL	20	0.62	0.0009339291222574264	0.944768965244
Arabic	REAL_REAL	21	0.705	0.000919988375435	0.989757955074
Arabic	REAL_REAL	22	0.705	0.000919988375435	1.03474700451
Arabic	REAL_REAL	23	0.705	0.000919988375435	1.07973599434
Arabic	REAL_REAL	24	0.705	0.000919988375435	1.12472498417
Arabic	REAL_REAL	25	0.705	0.000919988375435	1.169713974
Arabic	REAL_REAL	26	0.705	0.000919988375435	1.21470296383
Arabic	REAL_REAL	27	0.705	0.000919988375435	1.25969195366
Arabic	REAL_REAL	28	0.705	0.000919988375435	1.30468094349
Arabic	REAL_REAL	29	0.705	0.000919988375435	1.34966993332
Arabic	REAL_REAL	30	0.705	0.000919988375435	1.39465892315
Arabic	REAL_REAL	31	0.705	0.000919988375435	1.43964791298
Arabic	REAL_REAL	32	0.705	0.000919988375435	1.48463690281
Arabic	REAL_REAL	33	0.705	0.000919988375435	1.52962601185
Arabic	REAL_REAL	34	0.705	0.000919988375435	1.57461500168
Arabic	REAL_REAL	35	0.705	0.000919988375435	1.61960399151
Arabic	REAL_REAL	36	0.705	0.000919988375435	1.66459298134
Arabic	REAL_REAL	37	0.705	0.000919988375435	1.70958197117
Arabic	REAL_REAL	38	0.705	0.000919988375435	1.754570961
Catalan	REAL_REAL	0	0.0	0.0	0.0373121425509
Catalan	REAL_REAL	1	0.0	0.0	0.0746242851019
Catalan	REAL_REAL	2	0.02	0.0005996788962465693	0.111936435103
Catalan	REAL_REAL	3	0.0	0.0	0.149248570204
Catalan	REAL_REAL	4	0.0	0.0	0.186560720205
Catalan	REAL_REAL	5	0.02	0.0005996788962465693	0.223872870207
Catalan	REAL_REAL	6	0.0	0.0	0.261185020208
Catalan	REAL_REAL	7	0.0	0.0	0.298497140408
Catalan	REAL_REAL	8	0.0	0.0	0.335809290409
Catalan	REAL_REAL	9	0.0	0.0	0.373121440411
Catalan	REAL_REAL	11	0.02	0.0005996788962465693	0.447745740414
Catalan	REAL_REAL	12	0.06	0.0008685399713317388	0.485057860613
Catalan	REAL_REAL	13	0.0	0.0	0.522370040417
Catalan	REAL_REAL	15	0.0	0.0	0.596994280815
Catalan	REAL_REAL	16	0.0	0.0	0.634306430817
Catalan	REAL_REAL	17	0.0	0.0	0.671618580818
Catalan	REAL_REAL	18	0.0	0.0	0.70893073082
Catalan	REAL_REAL	19	0.0	0.0	0.746242880821
Catalan	REAL_REAL	20	0.0	0.0	0.783555030823
Catalan	REAL_REAL	21	0.02	0.0005996788962465693	0.820867180824
Catalan	REAL_REAL	22	0.11	0.0007936409144820855	0.858179330826
Catalan	REAL_REAL	23	0.175	0.0008927117972973297	0.895491480827
Catalan	REAL_REAL	24	0.38	0.0008635454532014419	0.932803630829
Catalan	REAL_REAL	25	0.55	0.0009274340985325757	0.970115721226
Catalan	REAL_REAL	26	0.62	0.0009339291222574264	1.00742793083
Catalan	REAL_REAL	27	0.705	0.0009199883754353877	1.04474008083
Catalan	REAL_REAL	28	0.705	0.000919988375435	1.08205223083
Catalan	REAL_REAL	29	0.705	0.000919988375435	1.11936426163
Catalan	REAL_REAL	30	0.705	0.000919988375435	1.15667641163
Catalan	REAL_REAL	31	0.705	0.000919988375435	1.19398856163
Catalan	REAL_REAL	32	0.705	0.000919988375435	1.23130071163
Catalan	REAL_REAL	33	0.705	0.000919988375435	1.26861286163
Catalan	REAL_REAL	34	0.705	0.000919988375435	1.30592501163
Catalan	REAL_REAL	35	0.705	0.000919988375435	1.34323716164
Catalan	REAL_REAL	36	0.705	0.000919988375435	1.38054931164
Catalan	REAL_REAL	37	0.705	0.000919988375435	1.41786146164
Catalan	REAL_REAL	38	0.705	0.000919988375435	1.45517361164
Czech	REAL_REAL	0	0.095	0.0009638078752569612	0.030584871769
Czech	REAL_REAL	1	0.095	0.0009638078752569612	0.0611697435379
Czech	REAL_REAL	2	0.0	0.0	0.0917546153069
Czech	REAL_REAL	3	0.095	0.0009638078752569612	0.122339487076
Czech	REAL_REAL	4	0.0	0.0	0.152924358845
Czech	REAL_REAL	5	0.0	0.0	0.183509230614
Czech	REAL_REAL	6	0.0	0.0	0.214094102383
Czech	REAL_REAL	7	0.095	0.0009638078752569612	0.244678974152
Czech	REAL_REAL	8	0.0	0.0	0.275263845921
Czech	REAL_REAL	9	0.0	0.0	0.30584871769
Czech	REAL_REAL	10	0.0	0.0	0.336433589458
Czech	REAL_REAL	11	0.0	0.0	0.367018461227
Czech	REAL_REAL	12	0.0	0.0	0.397603332996
Czech	REAL_REAL	13	0.0	0.0	0.428188204765
Czech	REAL_REAL	15	0.095	0.0009638078752569612	0.489357948303
Czech	REAL_REAL	16	0.0	0.0	0.519942820072
Czech	REAL_REAL	17	0.0	0.0	0.550527691841
Czech	REAL_REAL	18	0.0	0.0	0.58111256361
Czech	REAL_REAL	19	0.0	0.0	0.611697435379
Czech	REAL_REAL	20	0.0	0.0	0.642282307148
Czech	REAL_REAL	21	0.0	0.0	0.672867178917
Czech	REAL_REAL	22	0.0	0.0	0.703452050686
Czech	REAL_REAL	23	0.0	0.0	0.734036922455
Czech	REAL_REAL	24	0.0	0.0	0.764621794224
Czech	REAL_REAL	25	0.0	0.0	0.795206665993
Czech	REAL_REAL	27	0.025	0.0004513107470862643	0.856376409531
Czech	REAL_REAL	28	0.2	0.0009910190199859947	0.8869612813
Czech	REAL_REAL	29	0.325	0.000979910244387594	0.917546153069
Czech	REAL_REAL	30	0.64	0.0008521995831679563	0.948131024837
Czech	REAL_REAL	31	0.84	0.000935775008617	0.978715896606
Czech	REAL_REAL	32	0.84	0.000935775008617	1.00930070877
Czech	REAL_REAL	33	0.84	0.000935775008617	1.03988564014
Czech	REAL_REAL	34	0.84	0.000935775008617	1.07047057152
Czech	REAL_REAL	35	0.84	0.000935775008617	1.10105538368
Czech	REAL_REAL	36	0.84	0.000935775008617	1.13164019585
Czech	REAL_REAL	37	0.84	0.000935775008617	1.16222512722
Czech	REAL_REAL	38	0.84	0.000935775008617	1.19281005859
Dutch	REAL_REAL	0	0.04	0.0009582755575998636	0.0230086427182
Dutch	REAL_REAL	1	0.04	0.0009582755575998636	0.0460172854364
Dutch	REAL_REAL	2	0.0	0.0	0.0690259262919
Dutch	REAL_REAL	3	0.04	0.0009582755575998636	0.0920345708728
Dutch	REAL_REAL	4	0.02	0.0005996788962465693	0.115043215454
Dutch	REAL_REAL	5	0.0	0.0	0.138051852584
Dutch	REAL_REAL	7	0.04	0.0009582755575998636	0.184069141746
Dutch	REAL_REAL	8	0.005	0.00013370035856952178	0.207077786326
Dutch	REAL_REAL	9	0.02	0.0005996788962465693	0.230086430907
Dutch	REAL_REAL	10	0.0	0.0	0.253095060587
Dutch	REAL_REAL	11	0.0	0.0	0.276103705168
Dutch	REAL_REAL	12	0.0	0.0	0.299112349749
Dutch	REAL_REAL	15	0.04	0.0009582755575998636	0.368138283491
Dutch	REAL_REAL	16	0.085	0.0009175947812422036	0.391146928072
Dutch	REAL_REAL	17	0.005	0.00013370035856952178	0.414155572653
