Script	Model
forWords_Sesotho_OptimizeOrder_ByLemma_ByType.py	2967856
forWords_Sesotho_OptimizeOrder_ByLemma_ByType.py	5422928
forWords_Sesotho_OptimizeOrder_ByLemma_ByType_OnlySTO.py	9718394
forWords_Sesotho_OptimizeOrder_ByLemma_Suffixes_ByType.py	4429316
forWords_Sesotho_OptimizeOrder_ByLemma_Suffixes_ByType.py	6254516
forWords_Sesotho_OptimizeOrder_FormsWordsGraphemes.py	4997254
forWords_Sesotho_OptimizeOrder_FormsWordsGraphemes.py	9271484
forWords_Sesotho_OptimizeOrder_FormsWordsGraphemes_ByType.py	1365090
forWords_Sesotho_OptimizeOrder_FormsWordsGraphemes_ByType.py	1414417
forWords_Sesotho_OptimizeOrder_FormsWordsGraphemes_ByType.py	5602051
forWords_Sesotho_OptimizeOrder_FormsWordsGraphemes_ByType.py	7272498
forWords_Sesotho_OptimizeOrder_FormsWordsGraphemes_ByType.py	8157971
forWords_Sesotho_OptimizeOrder_FormsWordsGraphemes_ByType.py	8190079
forWords_Sesotho_OptimizeOrder_FormsWordsGraphemes_ByType.py	9433582
forWords_Sesotho_OptimizeOrder_FormsWordsGraphemes_ByType.py	9970289
forWords_Sesotho_OptimizeOrder_FormsWordsGraphemes_ByType_ExcludeMerged.py	2418780
forWords_Sesotho_OptimizeOrder_FormsWordsGraphemes_ByType_ExcludeMerged.py	4016043
forWords_Sesotho_OptimizeOrder_FormsWordsGraphemes_ByType_OnlySTO.py	9858314
forWords_Sesotho_OptimizeOrder_FormsWordsGraphemes_Prefixes_ByType.py	2247460
forWords_Sesotho_OptimizeOrder_FormsWordsGraphemes_Prefixes_ByType.py	2409644
forWords_Sesotho_OptimizeOrder_FormsWordsGraphemes_Prefixes_ByType.py	2411013
forWords_Sesotho_OptimizeOrder_FormsWordsGraphemes_Prefixes_ByType.py	2421712
forWords_Sesotho_OptimizeOrder_FormsWordsGraphemes_Prefixes_ByType.py	2780871
forWords_Sesotho_OptimizeOrder_FormsWordsGraphemes_Prefixes_ByType.py	3011383
forWords_Sesotho_OptimizeOrder_FormsWordsGraphemes_Prefixes_ByType.py	569327
forWords_Sesotho_OptimizeOrder_FormsWordsGraphemes_Prefixes_ByType.py	7726157
forWords_Sesotho_OptimizeOrder_FormsWordsGraphemes_Prefixes_ByType.py	9682865
forWords_Sesotho_OptimizeOrder_FormsWordsGraphemes_Prefixes_ByType.py	9768906
forWords_Sesotho_OptimizeOrder_FormsWordsGraphemes_Prefixes_ByType_Heldout.py	5407368
forWords_Sesotho_OptimizeOrder_FormsWordsGraphemes_Prefixes_ByType_Heldout.py	650139
forWords_Sesotho_OptimizeOrder_FormsWordsGraphemes_Suffixes_ByType.py	2024051
forWords_Sesotho_OptimizeOrder_FormsWordsGraphemes_Suffixes_ByType.py	3838336
forWords_Sesotho_OptimizeOrder_FormsWordsGraphemes_Suffixes_ByType.py	4036591
forWords_Sesotho_OptimizeOrder_FormsWordsGraphemes_Suffixes_ByType.py	5494236
forWords_Sesotho_OptimizeOrder_FormsWordsGraphemes_Suffixes_ByType.py	5784093
forWords_Sesotho_OptimizeOrder_FormsWordsGraphemes_Suffixes_ByType.py	695786
forWords_Sesotho_OptimizeOrder_FormsWordsGraphemes_Suffixes_ByType.py	786535
forWords_Sesotho_OptimizeOrder_FormsWordsGraphemes_Suffixes_ByType.py	9104808
forWords_Sesotho_OptimizeOrder_FormsWordsGraphemes_Suffixes_ByType_ExcludeMerged.py	2178475
forWords_Sesotho_OptimizeOrder_FormsWordsGraphemes_Suffixes_ByType_Heldout.py	1671607
forWords_Sesotho_OptimizeOrder_Normalized_ByType.py	8329517
forWords_Sesotho_OptimizeOrder_Normalized_ByType.py	85107
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Prefixes.py	4138780
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Prefixes.py	9760581
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Prefixes_Heldout.py	4209572
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Prefixes_Heldout.py	4997156
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Prefixes_Heldout.py	6027760
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Prefixes_Heldout.py	9354367
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Suffixes.py	2880106
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Suffixes.py	6087526
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Suffixes.py	6747942
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Suffixes.py	8564866
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Suffixes_Heldout.py	3165520
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Suffixes_Heldout.py	3284169
forWords_Sesotho_OptimizeOrder_Normalized_ByType_Suffixes_Heldout.py	9886844
